Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XRP,2020-05-07,0.2179942617,0.2172083302,0.2228011643,0.215152333
XRP,2020-05-08,0.2188917818,0.2179916548,0.2212204797,0.2099801471
XRP,2020-05-09,0.2197877433,0.2189507802,0.2222358789,0.2145275214
XRP,2020-05-10,0.2181760876,0.2198228819,0.2256993579,0.216309428
XRP,2020-05-11,0.197604161,0.2181578176,0.2189733911,0.180016007
XRP,2020-05-12,0.1918793476,0.1973245369,0.2003244916,0.184903788
XRP,2020-05-13,0.1974537978,0.1918852582,0.2001008442,0.1908408319
XRP,2020-05-14,0.2023827342,0.1973395492,0.2044343201,0.1959250487
XRP,2020-05-15,0.2042350341,0.2023822309,0.2064743682,0.1987819596
XRP,2020-05-16,0.1991496734,0.2040003107,0.2047556009,0.1951946929
XRP,2020-05-17,0.200273805,0.1991501043,0.2021211252,0.196587742
XRP,2020-05-18,0.2015597293,0.2002559347,0.2046215663,0.1989317825
XRP,2020-05-19,0.2049320736,0.2012715433,0.207725014,0.2011427858
XRP,2020-05-20,0.2042454239,0.2049221718,0.2067189023,0.2008881016
XRP,2020-05-21,0.2014163914,0.204238155,0.206137785,0.1977601759
XRP,2020-05-22,0.1954945482,0.2014224585,0.2031715152,0.1892919552
XRP,2020-05-23,0.2010056481,0.1954911343,0.2025245976,0.1920576489
XRP,2020-05-24,0.199780694,0.2010056482,0.2022433106,0.1981268604
XRP,2020-05-25,0.1979003104,0.1997764376,0.2012778269,0.1947237588
XRP,2020-05-26,0.1948875826,0.1979001423,0.1979001423,0.188742611
XRP,2020-05-27,0.19420557,0.1948874176,0.1972473575,0.1915513187
XRP,2020-05-28,0.1968584497,0.19420557,0.2001989745,0.1934020764
XRP,2020-05-29,0.1988418755,0.1968474044,0.199106424,0.1921881444
XRP,2020-05-30,0.1972922318,0.1988162247,0.2028600668,0.1962712231
XRP,2020-05-31,0.2071947825,0.1974591757,0.2078155736,0.1960549724
XRP,2020-06-01,0.2018613827,0.2071843911,0.2134657899,0.200349761
XRP,2020-06-02,0.2119883894,0.2018581844,0.2127028677,0.2011744962
XRP,2020-06-03,0.2026398939,0.211984873,0.2145683456,0.1973691202
XRP,2020-06-04,0.2039446663,0.2026401757,0.204820865,0.2009517108
XRP,2020-06-05,0.2043781998,0.2039448837,0.2072292608,0.2003864137
